ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.505738674472624	291.68	10.641304347826088	90.71739130434783	69.06521739130434	0.7479765898464955	38	479	475	17.0	205.0	156.0	177	5.0	11.0	8.0	0	0	0.7893111705780029	3900	34.48464608192444	2821	27.666666666666657	
0.48636051689967136	315.84	11.32183908045977	102.183908045977	77.79310344827586	0.7479765898464955	39	493	480	17.0	281.0	214.0	166	5.0	11.0	8.0	0	0	0.7758049964904785	4000	35.26045107841492	2893	27.67500000000001	
0.492053536248944	326.83	10.181818181818182	91.35227272727273	69.47727272727273	0.7479765898464955	40	506	481	17.0	281.0	214.0	166	3.0	3.0	2.0	0	0	0.7554881572723389	4100	36.015939235687256	2965	27.682926829268297	
0.516122228444377	327.3	10.844444444444445	91.9	70.02222222222223	0.7479765898464955	41	517	481	17.0	334.0	256.0	199	5.0	11.0	8.0	0	0	0.775639533996582	4200	36.79157876968384	3039	27.642857142857153	
0.5272090004973189	320.72	10.494505494505495	84.25274725274726	64.21978021978022	0.7479765898464955	42	527	495	17.0	237.0	180.0	134	5.0	11.0	8.0	0	0	0.7680299282073975	4300	37.559608697891235	3118	27.48837209302326	
0.5293938704229312	326.8	11.290322580645162	105.51612903225806	80.64516129032258	0.7479765898464955	43	535	498	17.0	255.0	194.0	173	3.0	3.0	2.0	0	0	0.8390071392059326	4400	38.39861583709717	3192	27.454545454545453	
0.5082454790082681	326.34	11.422680412371134	106.6701030927835	81.54639175257732	0.7479765898464955	44	539	494	17.0	280.0	216.0	165	5.0	11.0	8.0	0	0	0.8774421215057373	4500	39.276057958602905	3272	27.28888888888889	
0.5276651633114395	305.77	10.695652173913043	95.34782608695652	72.76086956521739	0.7479765898464955	45	548	494	17.0	299.0	230.0	91	3.0	3.0	2.0	0	0	0.8045828342437744	4600	40.08064079284668	3338	27.434782608695656	
0.5608691669766331	323.24	11.731182795698924	109.44086021505376	83.59139784946237	0.7479765898464955	46	556	489	17.0	299.0	230.0	67	3.0	3.0	2.0	0	0	0.8563442230224609	4700	40.93698501586914	3414	27.36170212765957	
0.5225527130770502	330.79	11.273684210526316	94.11578947368422	71.83157894736843	0.7479765898464955	47	562	484	17.0	219.0	168.0	150	3.0	3.0	2.0	0	0	0.8343105316162109	4800	41.77129554748535	3495	27.1875	
0.5693726293317286	320.72	10.593406593406593	84.06593406593407	64.21978021978022	0.7479765898464955	48	572	499	17.0	276.0	214.0	160	3.0	3.0	2.0	0	0	0.7680552005767822	4900	42.539350748062134	3565	27.244897959183675	
0.5250147222524238	305.88	10.26086956521739	79.51086956521739	60.73913043478261	0.7479765898464955	49	581	493	17.0	277.0	214.0	160	3.0	3.0	2.0	0	0	0.7644503116607666	5000	43.3038010597229	3641	27.180000000000007	
0.5283435382223779	310.98	10.978260869565217	86.46739130434783	66.0	0.7479765898464955	50	590	496	17.0	218.0	166.0	177	3.0	3.0	2.0	0	0	0.7798717021942139	5100	44.083672761917114	3724	26.98039215686275	
